Instruction,Type,Opcode,Function3,Function7
BEQ,B,1100011,000,N/A
BNE,B,1100011,001,N/A
BLT,B,1100011,100,N/A
BGE,B,1100011,101,N/A
BLTU,B,1100011,110,N/A
BGEU,B,1100011,111,N/A
LB,I,0000011,000,N/A
LH,I,0000011,001,N/A
LW,I,0000011,010,N/A
LBU,I,0000011,100,N/A
LHU,I,0000011,101,N/A
ADDI,I,0010011,000,N/A
SLTI,I,0010011,010,N/A
SLTIU,I,0010011,011,N/A
XORI,I,0010011,100,N/A
ORI,I,0010011,110,N/A
ANDI,I,0010011,111,N/A
SLLI,I,0010011,001,0000000
SRLI,I,0010011,101,0000000
SRAI,I,0010011,101,0100000
FENCE,I,0001111,000,N/A
FENCE.I,I,0001111,001,N/A
JAL,J,1101111,N/A,N/A
JALR,I,1100111,000,N/A
ECALL,PV,1110011,000,N/A
EBREAK,PV,1110011,000,N/A
CSRRW,PV,1110011,001,N/A
CSRRS,PV,1110011,010,N/A
CSRRC,PV,1110011,011,N/A
CSRRWI,PV,1110011,101,N/A
CSRRSI,PV,1110011,110,N/A
CSRRCI,PV,1110011,111,N/A
ADD,R,0110011,000,0000000
SUB,R,0110011,000,0100000
SLL,R,0110011,001,0000000
SLT,R,0110011,010,0000000
SLTU,R,0110011,011,0000000
XOR,R,0110011,100,0000000
SRL,R,0110011,101,0000000
SRA,R,0110011,101,0100000
OR,R,0110011,110,0000000
AND,R,0110011,111,0000000
SB,S,0100011,000,N/A
SH,S,0100011,001,N/A
SW,S,0100011,010,N/A
LUI,U,0110111,N/A,N/A
AUIPC,U,0010111,N/A,N/A
